Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
amitriptyline,CYP2C19,Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
amitriptyline,CYP2C19,Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
amitriptyline,CYP2C19,Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
amitriptyline,CYP2C19,Indeterminate,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
amitriptyline,CYP2C19,Indeterminate,CYP2D6,Normal Metabolizer,None
amitriptyline,CYP2C19,Indeterminate,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
amitriptyline,CYP2C19,Indeterminate,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
amitriptyline,CYP2C19,Indeterminate,CYP2D6,Indeterminate,None
amitriptyline,CYP2C19,Indeterminate,CYP2D6,None,None
amitriptyline,CYP2C19,None,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
amitriptyline,CYP2C19,None,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
amitriptyline,CYP2C19,None,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
amitriptyline,CYP2C19,None,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
amitriptyline,CYP2C19,None,CYP2D6,Indeterminate,None
amitriptyline,CYP2C19,None,CYP2D6,None,None
clomipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
clomipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
clomipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
clomipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
clomipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
clomipramine,CYP2C19,Rapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
clomipramine,CYP2C19,Normal Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid clomipramine use; If clomipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment."
clomipramine,CYP2C19,Normal Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
clomipramine,CYP2C19,Normal Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.
clomipramine,CYP2C19,Normal Metabolizer,CYP2D6,Poor Metabolizer,"Avoid clomipramine use. If a clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
clomipramine,CYP2C19,Normal Metabolizer,CYP2D6,Indeterminate,None
clomipramine,CYP2C19,Normal Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
clomipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
clomipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
clomipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid clomipramine use. If a clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Indeterminate,None
clomipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
clomipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
clomipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
clomipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid clomipramine use. If a clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Indeterminate,None
clomipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
clomipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
clomipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid clomipramine use. If clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
clomipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
